iter	Logloss
0	0.6088167725
1	0.5357164307
2	0.4731088257
3	0.4140673828
4	0.3595220337
5	0.3162954712
6	0.2741171265
7	0.2427395172
8	0.2137878723
9	0.1881086578
10	0.1687346497
11	0.14698526
12	0.1304130096
13	0.1161509781
14	0.1060650177
15	0.09480145264
16	0.08413557434
17	0.07549214172
18	0.0672845459
19	0.06040436935
20	0.05433470535
21	0.04969179153
22	0.0447973175
23	0.04128229523
24	0.03752035522
25	0.03413471222
26	0.03102052307
27	0.02811971283
28	0.02578459358
29	0.02395361519
30	0.02188692093
31	0.02006015015
32	0.0186164875
33	0.01725913429
34	0.01597223377
35	0.01472202873
36	0.01389638901
37	0.01294856453
38	0.0120222559
39	0.01122808838
40	0.01047750092
41	0.009817187309
42	0.009259183884
43	0.008711783409
44	0.008303310394
45	0.007861125469
46	0.007431187153
47	0.007062606335
48	0.006681822777
49	0.006326124668
50	0.006047222137
51	0.005769773483
52	0.005523662567
53	0.005280733109
54	0.005042966843
55	0.004848977566
56	0.004662554264
57	0.004478650093
58	0.004307018757
59	0.004155165672
60	0.004012989521
61	0.003874832153
62	0.003741770744
63	0.003631557703
64	0.003521814346
65	0.003412621975
66	0.003314117908
67	0.003229724646
68	0.003139686584
69	0.003057017565
70	0.00297718668
71	0.002906790495
72	0.002839109421
73	0.002766109943
74	0.002712879658
75	0.002648838997
76	0.002587276697
77	0.002528121471
78	0.002475096226
79	0.002423845768
80	0.002383298874
81	0.00233676219
82	0.002293231726
83	0.002249590874
84	0.002208310127
85	0.002166429996
86	0.002133452892
87	0.002098257542
88	0.002066675186
89	0.002033670187
90	0.002017868519
91	0.001987774253
92	0.001957744241
93	0.001923274279
94	0.00189764154
95	0.001872063637
96	0.001848261833
97	0.001823020697
98	0.001801283002
99	0.001779122353
100	0.001752756596
101	0.001733428001
102	0.00171199131
103	0.001690039158
104	0.001677064776
105	0.001664896131
106	0.001664896131
107	0.001654788017
108	0.001635492682
109	0.00161832881
110	0.001602844954
111	0.001587132215
112	0.00157406354
113	0.001557610869
114	0.001547343254
115	0.001531932592
116	0.001522288561
117	0.001508572578
118	0.001492487669
119	0.001478865504
120	0.001470581293
121	0.001459638238
122	0.001449859977
123	0.001443264604
124	0.001433090925
125	0.001420537949
126	0.001420549154
127	0.001420544147
128	0.001412233233
129	0.001405007482
130	0.001387988091
131	0.00138793838
132	0.001379887581
133	0.001379887581
134	0.001371461034
135	0.001362843037
136	0.001362837911
137	0.001357152462
138	0.001357152462
139	0.001357141495
140	0.001349054098
141	0.001349045396
142	0.001349035501
143	0.001339078665
144	0.001339088202
145	0.001339083433
146	0.00133907795
147	0.00133907795
148	0.001329277277
149	0.00132927084
150	0.001320317864
151	0.001320299983
152	0.001320287824
153	0.001320287824
154	0.0013202672
155	0.001308265686
156	0.001308244467
157	0.001308237791
158	0.001308216929
159	0.001308194876
160	0.001296527267
161	0.001296540856
162	0.001296540499
163	0.001284279466
164	0.001273310423
165	0.001273275852
166	0.001273275852
167	0.001273265719
168	0.001273265719
169	0.001273262262
170	0.001273262262
171	0.001273242712
172	0.001273266077
173	0.001273265481
174	0.00127323842
175	0.00127323997
176	0.00127323997
177	0.00126364696
178	0.001263599277
179	0.001263618708
180	0.001263585925
181	0.001263585925
182	0.001263585925
183	0.001263611555
184	0.001263615727
185	0.001263601899
186	0.001263597488
187	0.001263575315
188	0.001263583183
189	0.001263572216
190	0.001263572216
191	0.001263561368
192	0.001263566375
193	0.001263566375
194	0.001263555527
195	0.001263528943
196	0.00126355195
197	0.001251959562
198	0.001251959801
199	0.001251913786
200	0.001251933098
201	0.001251933098
202	0.00124655354
203	0.00124651289
204	0.001246558547
205	0.001246529102
206	0.001246542931
207	0.001246570349
208	0.001235951424
209	0.001235951424
210	0.001235956669
211	0.001235973239
212	0.00123598361
213	0.001235964298
214	0.001235949993
215	0.001235949993
216	0.001235957026
217	0.001235948801
218	0.001235925913
219	0.001235918522
220	0.001223971128
221	0.001223977327
222	0.001208307266
223	0.001208316565
224	0.001208334446
225	0.001208334446
226	0.001208324552
227	0.001198953152
228	0.001198956132
229	0.001198933005
230	0.001198935747
231	0.001189080954
232	0.001189058065
233	0.001189058065
234	0.001189041615
235	0.001189068437
236	0.001189063311
237	0.001189063311
238	0.001189053774
239	0.001189044714
240	0.001189046025
241	0.001177277803
242	0.001163545132
243	0.001163533568
244	0.001163547754
245	0.001163547516
246	0.001163535833
247	0.00116354692
248	0.001163518429
249	0.001155961752
250	0.00115591538
251	0.001155914307
252	0.001155923367
253	0.001155897737
254	0.001155883431
255	0.001155892611
256	0.00115588212
257	0.001147755384
258	0.001147755384
259	0.001147732019
260	0.00114774394
261	0.001147735596
262	0.001147748947
263	0.001147748947
264	0.001147738576
265	0.001147744775
266	0.001147715569
267	0.001147730589
268	0.001147711277
269	0.001147707462
270	0.001147696257
271	0.001141697288
272	0.001141699076
273	0.001132640362
274	0.001132638693
275	0.001132665873
276	0.001132669449
277	0.001132660031
278	0.001132660031
